"config_bits","config_decimal","L1_heat_tracking","L2_rolling_window","L3_linear_decay","L4_pipelining_metrics","L5_window_inference","L6_decay_inference","L7_adaptive_heartrate","n_reps","mean_ns","sd_ns","se_ns","min_ns","max_ns","cv_pct","rank","is_best","is_worst","L1234","L567","speed_norm","stability_norm","optimality_score","steady_state_score","optimality_rank","optimality_percentile","is_top5pct"
"0110100",179,"0","1","1","0","1","0","0",300,32301658.7729779,6776133.13717601,391220.229081331,25865971.5441013,89967648.9882248,20.9776630506809,22,FALSE,FALSE,"0110","100",0.0254302536302815,0.548877795742538,0.549466589028748,0.339498778897635,57,56.25,FALSE
"0011101",156,"0","0","1","1","1","0","1",300,46610687.0907384,7509126.99258465,433539.649054783,37849930.2235059,106357356.633637,16.1103117359468,68,FALSE,FALSE,"0011","101",0.538478708697387,0.178149759789552,0.567183089163878,0.322281339352686,58,55.46875,FALSE
"0011000",151,"0","0","1","1","0","0","0",300,46606618.1122654,7777265.00091539,449020.604183756,37097365.5276605,114582976.412353,16.6870399868568,67,FALSE,FALSE,"0011","000",0.538332815973375,0.22207700438586,0.582340464531549,0.348579329020866,59,54.6875,FALSE
"0011011",154,"0","0","1","1","0","1","1",300,46469290.8532208,7961488.7368333,459656.766536088,37155708.7296156,113336860.551877,17.1327958543217,66,FALSE,FALSE,"0011","011",0.53340896394605,0.25602856994463,0.591671996503037,0.366980727545198,60,53.90625,FALSE
"1001111",206,"1","0","0","1","1","1","1",300,48146680.6235296,7144414.9497857,412482.989446116,38958028.8113753,88870907.4499,14.8388525590156,73,FALSE,FALSE,"1001","111",0.593551568397684,0.0813074459768639,0.599094621173176,0.286205094945192,61,53.125,FALSE
"0101101",172,"0","1","0","1","1","0","1",300,48406235.5074398,6666193.71044118,384872.87331934,40591259.8978005,76151841.8982448,13.771353298929,75,FALSE,FALSE,"0101","101",0.602857876921093,0,0.602857876921093,0.241143150768437,62,52.34375,FALSE
"0111111",190,"0","1","1","1","1","1","1",300,48497677.7140013,6951940.93513908,401370.497029293,38687104.9384581,73623602.5061098,14.3345852066068,78,FALSE,FALSE,"0111","111",0.606136526020282,0.0428992783585082,0.607652726694793,0.268194177423218,63,51.5625,FALSE
"0111000",183,"0","1","1","1","0","0","0",300,48443181.6397778,7106682.88664875,410304.527765196,39769111.4330149,73370282.0599867,14.6701406598226,76,FALSE,FALSE,"0111","000",0.604182575963947,0.0684572884711987,0.608048505830957,0.282747403468298,64,50.78125,FALSE
"0111010",185,"0","1","1","1","0","1","0",300,48325534.8856995,7430863.61806329,429021.111020024,40176363.5814264,92494927.3992446,15.3766815734972,74,FALSE,FALSE,"0111","010",0.599964366028012,0.122271880496659,0.612297030258667,0.3133488747092,65,50,FALSE
"1011110",221,"1","0","1","1","1","1","0",300,48852261.4480812,6822127.10860543,393875.692259919,38988124.9926683,70910811.0588758,13.96481330932,83,FALSE,FALSE,"1011","110",0.618850082309481,0.0147351290363124,0.619025482837474,0.25638111034558,66,49.21875,FALSE
"1011111",222,"1","0","1","1","1","1","1",300,48646619.0122373,7444262.14215384,429794.675169066,39678677.2859365,84798779.0944235,15.3027328379824,79,FALSE,FALSE,"1011","111",0.611476797998135,0.116639480510327,0.622501922008094,0.31457440750545,67,48.4375,FALSE
"0000110",133,"0","0","0","0","1","1","0",300,32347771.7915367,7108550.39854089,410412.34861456,25303098.6962897,80447616.7678294,21.9753943002675,25,FALSE,FALSE,"0000","110",0.0270836302540967,0.624871271999006,0.625457935913676,0.385756215301042,68,47.65625,FALSE
"1001001",200,"1","0","0","1","0","0","1",300,48784010.870568,7507756.28151561,433460.511014314,38687206.8606976,82236221.0282159,15.3897888827446,81,FALSE,FALSE,"1001","001",0.616402966224939,0.123270215463612,0.628608115435482,0.320523315768143,69,46.875,FALSE
"0001101",140,"0","0","0","1","1","0","1",300,47491626.7299889,8260339.41669052,476910.918582395,37644105.5409909,87872651.9155743,17.3932543175542,70,FALSE,FALSE,"0001","101",0.570064691399222,0.275866721801314,0.633305771786026,0.393545909640477,70,46.09375,FALSE
"1111001",248,"1","1","1","1","0","0","1",300,49097170.0576405,7392705.6265321,426818.058351797,39810317.1384137,71980324.7989336,15.0572947847157,88,FALSE,FALSE,"1111","001",0.627631250462674,0.0979453773827684,0.635227741450256,0.309819726614731,71,45.3125,FALSE
"0111001",184,"0","1","1","1","0","0","1",300,49045611.1396875,7459335.3334243,430664.926272821,38478979.7253944,79258111.4312375,15.2089762164025,86,FALSE,FALSE,"0111","001",0.62578261178412,0.109498387556811,0.635290306937621,0.316012077247735,72,44.53125,FALSE
"0101111",174,"0","1","0","1","1","1","1",300,48916456.0058061,7727244.36587916,446132.661473435,38882941.2415019,105283096.229282,15.7968197143349,84,FALSE,FALSE,"0101","111",0.621151770302063,0.154272239153785,0.640023003901351,0.341024051613096,73,43.75,FALSE
"0101000",167,"0","1","0","1","0","0","0",300,48923598.4736784,7794265.37951789,450002.121500004,39450851.9600089,86946193.318818,15.9315046780774,85,FALSE,FALSE,"0101","000",0.621407862611469,0.164530691616319,0.642820410533999,0.347281560014379,74,42.96875,FALSE
"0101100",171,"0","1","0","1","1","0","0",300,49094334.8236096,8040127.1038045,464196.954770033,38972574.5709842,96229664.0213286,16.3768938568814,87,FALSE,FALSE,"0101","100",0.627529593494288,0.198454327864411,0.658162222373194,0.370084434116362,75,42.1875,FALSE
"1001100",203,"1","0","0","1","1","0","0",300,48472771.3160749,8366814.36054006,483058.252331743,38911683.3130415,123903124.560764,17.2608541524949,77,FALSE,FALSE,"1001","100",0.605243510177861,0.26578229395167,0.661029450471483,0.401566780442146,76,41.40625,FALSE
"1111010",249,"1","1","1","1","0","1","0",300,49369194.0112627,8137060.38283881,469793.400244422,38987251.3734726,83701469.7036214,16.4820604139952,94,FALSE,FALSE,"1111","010",0.637384635951043,0.20646447314583,0.66999011397022,0.378832538267915,77,40.625,FALSE
"0001000",135,"0","0","0","1","0","0","0",300,46789625.705695,8963258.90881876,517493.994382282,36791977.3774717,118818369.635192,19.1565091056665,69,FALSE,FALSE,"0001","000",0.544894530786537,0.410167277116229,0.68201704150118,0.464058178584352,78,39.84375,FALSE
"0101011",170,"0","1","0","1","0","1","1",300,49543886.0603777,8305721.49989227,479531.054377686,39267202.6447456,108472476.068429,16.7643722774801,96,FALSE,FALSE,"0101","011",0.64364819794286,0.227967117173015,0.682826485446534,0.394239549480953,79,39.0625,FALSE
"1010111",214,"1","0","1","0","1","1","1",300,34730300.1894809,7874827.77402986,454653.393515808,27186490.6394135,135950537.114419,22.6742289328527,56,FALSE,FALSE,"1010","111",0.11250889370134,0.678098905272564,0.687369170456276,0.451862900644075,80,38.28125,FALSE
"1001010",201,"1","0","0","1","0","1","0",300,47926624.0048345,8873750.2873771,512326.211713869,39776988.5660964,137669091.675628,18.5152834601535,72,FALSE,FALSE,"1001","010",0.585661465328373,0.361327505997981,0.688154719929536,0.451061089730138,81,37.5,FALSE
"1110110",245,"1","1","1","0","1","1","0",300,35094248.1991854,7958005.96679251,459455.688714031,27522804.9091313,104384273.119751,22.6760975805068,61,FALSE,FALSE,"1110","110",0.12555820494436,0.678241233210263,0.689765201539936,0.457168021903902,82,36.71875,FALSE
"0011110",157,"0","0","1","1","1","1","0",300,47493616.252104,8965279.4775763,517610.65197389,37363469.9346812,130180457.050433,18.8768095273839,71,FALSE,FALSE,"0011","110",0.570136025470607,0.388863601131362,0.690123168589689,0.46137257086706,83,35.9375,FALSE
"1011101",220,"1","0","1","1","1","0","1",300,49214360.7824987,8593277.68811448,496133.11864541,39574629.2397245,124218413.728505,17.4609149676701,91,FALSE,FALSE,"1011","101",0.631833109526861,0.281020181723722,0.691509523311441,0.421345352844978,84,35.15625,FALSE
"0010101",148,"0","0","1","0","1","0","1",300,32518860.4041413,7434615.58514237,429237.730940333,25132437.186403,106152609.414797,22.8624727089008,29,FALSE,FALSE,"0010","101",0.0332179914718615,0.692436733151034,0.693233051992114,0.428749236479365,85,34.375,FALSE
