"tick_count","duration_ns","mean_interval_ns","sd_interval_ns","mean_heat","max_heat","mean_hot_words","max_hot_words","mean_jitter_ns","sd_jitter_ns","run_id","init_script","replicate","cv_interval"
26,6723240,20206478039605.7,103033225450146,0.000345384615384615,0.00077,6.88461538461539,14,20206478029605.7,103033225450146,148,"init-l8-temporal.4th",19,5.09901949504492
26,5995225,20206478275448.4,103033226643137,0.000302884615384615,0.000751,6.19230769230769,14,20206478265448.4,103033226643136,149,"init-l8-temporal.4th",29,5.09901949457099
25,6220518,21014737654920.8,105073687898219,0.000327,0.000644,6,13,21014737644920.8,105073687898219,150,"init-l8-volatile.4th",18,4.99999998208945
26,6291880,20206478759197.6,103033229128803,0.000328076923076923,0.000639,6.11538461538461,14,20206478749197.6,103033229128803,151,"init-l8-stable.4th",12,5.09901949551226
27,6490825,19458090904076,101107205808873,0.000363222222222222,0.000674,6.22222222222222,14,19458090894076,101107205808873,152,"init-l8-transition.4th",4,5.19615240299314
25,6890464,21014738450962.9,105073691875936,0.00031896,0.000688,6.56,14,21014738440962.9,105073691875936,153,"init-l8-omni.4th",2,4.99999998197082
24,5980460,21890352802847,107240388919075,0.000327458333333333,0.000601,6.45833333333333,13,21890352792847,107240388919075,154,"init-l8-temporal.4th",27,4.89897946757292
24,6021968,21890353054410.7,107240390164499,0.000317083333333333,0.000797,6.08333333333333,13,21890353044410.7,107240390164499,155,"init-l8-volatile.4th",6,4.89897946816764
25,6259015,21014739189384.6,105073695574007,0.0003162,0.000859,5.64,13,21014739179384.6,105073695574007,156,"init-l8-stable.4th",10,4.99999998225456
26,5958424,20206480223425.6,103033236584539,0.000343538461538462,0.000713,6.38461538461539,13,20206480213425.6,103033236584539,157,"init-l8-volatile.4th",2,5.09901949499803
25,6439571,21014739691070.6,105073698078506,0.0003304,0.000668,6.76,14,21014739681070.6,105073698078506,158,"init-l8-transition.4th",20,4.99999998206748
25,5965392,21014739930467.6,105073699275109,0.00032808,0.000674,6.64,14,21014739920467.6,105073699275109,159,"init-l8-volatile.4th",27,4.9999999820493
25,6615016,21014740200199.8,105073700594972,0.00031936,0.000666,6.44,14,21014740190199.8,105073700594972,160,"init-l8-stable.4th",16,4.99999998067895
25,6720035,21014740472699.6,105073701979418,0.00031168,0.000699,6,14,21014740462699.6,105073701979418,161,"init-l8-volatile.4th",3,4.99999998172328
25,6317420,21014740728338.9,105073703249836,0.00033356,0.00074,6.96,14,21014740718338.9,105073703249836,162,"init-l8-diverse.4th",19,4.99999998135315
24,6554090,21890355197528.1,107240400675165,0.000332,0.000742,6.375,14,21890355187528.1,107240400675165,163,"init-l8-diverse.4th",20,4.89897946869655
23,5984373,22842110036522.3,109546910984917,0.000320260869565217,0.000733,6.47826086956522,14,22842110026522.3,109546910984917,164,"init-l8-temporal.4th",13,4.79583150636092
25,5944597,21014741473215.1,105073706989320,0.00033476,0.000728,6.56,14,21014741463215.1,105073706989320,165,"init-l8-diverse.4th",3,4.99999998207183
22,6243874,23880388327609.2,112008949360547,0.000293363636363636,0.000529,5.90909090909091,14,23880388317609.2,112008949360547,166,"init-l8-temporal.4th",10,4.69041574299059
25,6070487,21014741971797.4,105073709500072,0.00035916,0.000678,6.8,14,21014741961797.4,105073709500072,167,"init-l8-diverse.4th",25,4.99999998292079
26,6703865,20206482928854.5,103033250383222,0.000336961538461538,0.000729,6.5,13,20206482918854.5,103033250383222,168,"init-l8-stable.4th",6,5.09901949517858
25,6742709,21014742518322.1,105073712213954,0.000332,0.000767,6.32,14,21014742508322.1,105073712213954,169,"init-l8-volatile.4th",13,4.99999998202897
25,5958161,21014742757326,105073713417869,0.00033388,0.000772,6.72,14,21014742747326,105073713417869,170,"init-l8-transition.4th",26,4.99999998245228
26,6563995,20206483682085.8,103033254190475,0.000303884615384615,0.00073,5.26923076923077,12,20206483672085.8,103033254190475,171,"init-l8-transition.4th",15,5.09901949352125
24,6109529,21890357571765.2,107240412304759,0.00032625,0.000764,6.29166666666667,14,21890357561765.2,107240412304759,172,"init-l8-volatile.4th",21,4.89897946861685
